temp_mean,precipitation,wind_speed,raceId
16.8,0.1,22.1,238
18.8,3.1,6.3,239
18.1,1.5,18.4,240
17.0,62.7,21.7,241
13.9,8.3,10.5,242
12.7,0.0,15.1,243
18.8,0.0,6.8,244
19.8,7.3,18.8,245
21.5,4.8,13.6,246
16.6,2.0,16.9,247
22.9,0.0,13.9,248
21.4,0.0,7.7,249
13.9,3.3,24.8,250
16.3,2.4,9.4,251
17.7,0.0,33.5,252
8.8,1.9,19.1,253
15.7,0.0,13.0,254
15.6,17.5,21.7,255
18.7,0.0,19.1,256
18.0,3.2,18.2,257
14.1,0.0,13.3,258
18.2,0.0,11.9,259
15.9,0.0,9.4,260
19.4,0.0,15.8,261
18.9,20.0,18.3,262
25.5,0.1,9.1,263
17.4,0.0,19.8,264
25.1,0.0,12.0,265
18.9,2.9,19.8,266
14.2,5.2,23.8,267
18.4,0.0,6.6,268
16.0,0.2,12.8,269
20.1,0.0,13.8,270
16.3,21.9,12.5,271
13.7,0.0,16.5,272
20.9,0.1,9.2,273
20.7,20.3,10.0,274
7.3,7.4,23.5,275
14.0,0.9,6.9,276
15.4,0.0,12.4,277
17.5,0.0,8.2,278
22.1,0.0,12.8,279
22.0,0.0,7.7,280
11.1,0.7,18.5,281
19.6,1.5,26.1,282
25.8,0.0,16.8,283
11.4,0.0,10.1,284
16.4,0.0,6.8,285
16.0,0.0,33.9,286
13.2,0.0,29.5,287
16.6,3.8,15.4,288
23.7,0.0,26.5,289
17.9,0.1,9.2,290
21.4,0.0,7.3,291
12.4,2.1,23.6,292
21.9,0.0,6.8,293
20.2,0.0,10.9,294
19.1,0.6,16.5,295
15.5,3.0,13.5,296
15.4,1.9,25.1,297
21.9,0.0,8.2,298
20.5,1.1,12.4,299
13.2,3.2,34.4,300
19.2,0.0,8.0,301
16.0,0.2,18.5,302
15.0,0.0,25.8,303
19.7,8.1,36.3,304
17.9,0.0,8.2,305
20.0,6.7,15.3,306
11.2,4.1,11.4,307
14.2,0.9,8.0,308
18.4,0.0,17.1,309
17.1,6.0,6.0,310
20.0,3.5,8.7,311
15.7,0.0,18.1,312
20.6,0.0,17.0,313
22.1,0.0,14.3,314
15.7,0.0,10.5,315
19.8,2.9,20.1,316
20.6,0.0,23.1,317
17.7,4.7,21.2,318
14.9,0.0,15.3,319
18.3,18.9,24.3,320
13.3,4.2,29.0,321
21.8,0.0,18.5,322
18.2,0.0,7.7,323
17.3,8.6,10.2,324
15.5,20.4,21.3,325
15.1,18.3,10.0,326
22.2,0.0,21.7,327
18.9,0.3,13.5,328
25.5,0.4,13.5,329
20.0,0.0,8.8,330
,,,331
17.1,0.0,7.5,332
18.9,0.7,21.4,333
23.1,1.8,12.7,334
16.7,0.0,8.0,335
22.9,0.0,8.3,336
23.0,0.0,15.8,337
20.8,4.3,25.4,338
26.6,3.2,11.9,339
15.8,3.1,26.4,340
14.7,0.5,18.7,341
15.7,1.4,12.2,342
21.8,0.0,10.9,343
19.5,0.0,11.2,344
24.6,0.0,13.9,345
19.1,0.1,25.7,346
17.1,0.0,10.4,347
22.2,0.2,11.4,348
11.0,10.0,28.9,349
17.4,0.0,7.6,350
27.0,18.9,9.2,351
21.1,12.6,22.2,352
17.4,27.8,16.7,353
18.4,0.1,15.3,354
26.7,0.4,19.9,355
27.4,0.0,12.4,356
11.2,0.1,12.2,357
16.9,0.0,19.5,358
16.8,0.0,10.2,359
30.3,0.0,15.6,360
16.9,5.1,20.7,361
23.2,0.0,25.6,362
17.1,0.0,19.6,363
20.9,1.7,22.7,364
20.2,0.1,15.9,365
13.0,12.1,26.5,366
17.1,0.0,8.7,367
17.9,0.0,21.1,368
23.0,0.3,27.0,369
14.9,11.5,8.8,370
16.5,9.9,25.5,371
23.2,6.5,13.4,372
14.7,0.2,8.7,373
16.9,4.1,9.1,374
18.4,0.1,16.0,375
22.8,0.0,25.1,376
26.4,0.0,21.3,377
18.2,0.6,22.8,378
15.5,3.8,34.8,379
21.2,1.5,16.1,380
18.8,0.0,7.5,381
19.0,2.5,26.7,382
19.3,0.0,7.0,383
18.5,0.0,16.9,384
23.8,0.0,27.4,385
10.4,0.0,32.9,386
25.2,0.5,26.1,387
27.7,0.0,17.7,388
18.1,0.0,26.4,389
6.7,0.0,14.1,390
17.9,0.3,8.4,391
23.6,16.3,15.1,392
24.2,1.9,10.5,393
16.0,0.3,14.5,394
13.5,0.4,16.7,395
17.3,0.9,13.1,396
16.4,0.0,15.6,397
20.2,7.5,8.8,398
20.3,8.2,23.7,399
20.9,0.2,8.2,400
15.5,0.0,10.3,401
14.1,0.4,19.5,402
24.1,0.0,17.6,403
25.0,0.0,18.6,404
10.7,0.0,15.4,405
12.6,17.4,14.8,406
17.3,0.0,9.2,407
12.3,0.0,16.6,408
19.3,0.0,19.9,409
24.8,1.5,28.7,410
21.0,0.5,31.4,411
15.9,0.7,12.2,412
20.9,0.0,7.2,413
23.0,0.0,6.9,414
20.2,0.8,5.8,415
18.0,0.0,7.3,416
20.4,1.8,14.8,417
16.8,0.0,9.7,418
11.7,1.1,15.9,419
26.7,0.5,12.1,420
13.0,4.0,28.1,421
11.4,10.1,8.9,422
15.5,1.2,11.0,423
16.6,1.2,12.2,424
22.2,0.0,31.7,425
22.6,0.2,12.1,426
12.6,0.9,21.3,427
11.2,1.9,21.5,428
15.1,19.9,12.5,429
14.5,1.6,34.2,430
18.0,0.0,7.2,431
11.1,11.2,21.9,432
14.7,0.2,33.6,433
18.0,0.1,11.7,434
20.6,0.0,14.0,435
24.4,0.0,16.2,436
19.3,0.0,9.4,437
8.8,0.0,21.6,438
16.6,0.0,11.2,439
10.4,0.9,12.0,440
16.2,26.8,15.2,441
19.6,0.0,12.0,442
21.4,0.2,28.4,443
31.7,0.0,18.2,444
17.2,0.0,11.5,445
18.9,1.1,14.2,446
15.6,0.0,11.2,447
17.5,0.0,17.0,448
14.8,0.0,6.5,449
7.4,0.0,20.2,450
15.5,0.0,22.2,451
27.1,9.4,17.0,452
13.5,0.1,19.1,453
11.6,0.6,33.9,454
17.1,0.3,28.6,455
18.2,6.3,14.4,456
9.4,0.7,12.2,457
18.1,0.0,18.6,458
21.3,0.0,22.1,459
22.9,0.5,11.7,460
17.3,1.9,10.8,461
14.3,0.0,11.0,462
16.4,0.4,26.9,463
17.8,32.6,18.1,464
13.4,0.0,17.7,465
17.5,0.0,15.2,466
18.8,0.8,12.9,467
25.1,0.7,12.8,468
13.8,0.0,22.8,469
9.6,0.0,24.7,470
9.4,3.6,13.7,471
18.3,0.4,18.1,472
17.6,0.0,25.5,473
15.3,3.6,25.9,474
15.8,5.8,23.8,475
18.0,0.0,13.8,476
21.3,0.0,34.1,477
19.3,3.0,12.6,478
20.0,0.4,10.2,479
14.9,0.0,13.0,480
20.9,0.6,7.3,481
28.8,0.0,15.6,482
13.8,0.0,18.1,483
23.8,8.7,13.5,484
19.7,0.0,13.0,485
12.1,3.2,9.1,486
12.1,4.3,18.6,487
19.3,0.0,12.8,488
24.6,0.0,14.3,489
15.9,0.0,6.8,490
12.9,1.0,19.2,491
22.1,0.6,11.3,492
20.3,0.0,5.6,493
15.4,0.0,13.7,494
19.1,9.3,7.4,495
16.7,14.9,22.4,496
16.1,0.0,16.1,497
24.8,0.0,21.3,498
20.9,9.2,11.4,499
19.3,0.0,8.9,500
14.7,0.0,14.8,501
8.5,3.1,24.0,502
12.5,5.9,9.2,503
17.3,0.0,31.4,504
13.3,8.8,16.2,505
18.2,0.6,8.6,506
17.2,1.9,10.9,507
15.6,2.2,41.4,508
19.9,1.0,8.1,509
8.2,0.0,26.5,510
6.8,0.0,10.5,511
24.5,0.0,20.7,512
19.5,3.9,16.0,513
19.7,3.5,23.1,514
14.3,0.0,18.9,515
9.5,0.0,20.2,516
13.2,0.0,8.8,517
17.5,2.1,9.2,518
12.4,0.0,16.2,519
15.1,0.0,16.7,520
23.0,0.1,16.2,521
12.1,2.4,10.7,522
14.0,2.6,29.6,523
19.4,0.0,7.2,524
16.6,0.0,17.0,525
8.9,0.2,20.6,526
23.4,0.0,23.0,527
30.0,0.0,12.3,528
18.1,1.7,9.8,529
14.0,0.4,19.5,530
12.5,3.0,6.2,531
10.4,0.0,10.0,532
19.3,0.0,13.2,533
12.2,0.0,18.8,534
18.1,0.0,20.3,535
14.7,0.0,13.1,536
23.9,0.0,11.6,537
12.6,5.6,5.5,538
14.4,1.0,35.5,539
20.3,0.0,7.4,540
13.0,5.8,19.8,541
5.0,0.2,24.5,542
28.1,0.5,20.4,543
20.5,2.0,15.5,544
17.2,2.0,20.8,545
14.2,0.0,23.6,546
14.7,0.0,10.4,547
16.2,0.4,8.6,548
12.7,4.7,27.5,549
18.3,0.1,12.0,550
20.2,0.0,15.9,551
15.2,0.8,17.4,552
19.1,11.1,28.1,553
14.1,3.0,7.2,554
15.1,0.6,23.8,555
16.9,0.0,5.9,556
9.1,1.7,13.6,557
11.3,20.0,25.1,558
13.0,0.0,12.2,559
23.9,1.2,25.9,560
19.2,1.5,16.9,561
14.5,0.0,22.1,562
12.0,0.0,8.7,563
14.3,0.0,18.3,564
18.4,1.6,8.3,565
13.5,6.5,18.0,566
20.9,0.7,16.6,567
18.4,0.0,20.2,568
10.0,2.3,17.7,569
13.9,7.7,5.7,570
18.6,0.4,17.1,571
13.7,0.6,7.4,572
14.4,0.0,14.6,573
5.1,0.1,27.2,574
15.7,14.2,13.3,575
21.6,4.4,16.0,576
24.2,2.4,12.3,577
17.9,6.1,12.6,578
15.0,0.0,23.4,579
13.3,14.6,19.1,580
11.8,0.2,17.3,581
17.2,0.0,11.5,582
17.5,2.1,32.0,583
19.5,0.0,21.4,584
16.4,3.3,16.5,585
19.6,0.0,10.0,586
16.9,3.3,6.2,587
18.1,14.2,6.8,588
12.1,0.0,18.4,589
25.4,0.7,25.6,590
22.7,2.3,27.9,591
17.5,0.2,22.9,592
8.7,7.1,8.2,593
12.6,0.0,20.6,594
15.8,0.0,9.0,595
10.4,0.0,14.3,596
16.5,0.0,22.2,597
14.1,0.0,14.4,598
17.3,1.0,21.6,599
17.2,10.0,17.8,600
22.8,0.0,10.8,601
17.2,0.0,6.4,602
7.8,0.0,20.5,603
14.5,0.0,15.6,604
22.8,0.0,28.9,605
25.9,0.0,26.0,606
20.2,8.4,14.1,607
14.6,0.0,16.3,608
16.1,8.0,17.1,609
18.5,0.0,9.0,610
14.4,0.0,8.9,611
21.6,0.0,14.5,612
16.3,3.1,13.3,613
16.7,0.0,23.1,614
15.4,0.0,30.1,615
19.6,0.0,7.8,616
21.3,0.0,6.9,617
13.3,8.3,20.2,618
11.6,1.7,8.9,619
25.1,0.0,16.7,620
18.2,5.7,9.8,621
8.3,16.7,19.1,622
11.8,7.8,13.1,623
16.3,1.4,22.9,624
9.9,0.6,14.3,625
14.6,0.0,20.2,626
13.2,0.1,10.0,627
22.1,0.5,6.5,628
17.4,18.2,15.5,629
15.2,5.2,14.4,630
9.0,1.7,19.1,631
20.0,0.1,19.4,632
13.0,0.0,12.4,633
14.6,8.6,10.1,634
12.5,6.2,34.5,635
19.4,0.0,15.3,636
13.3,0.0,13.4,637
17.0,0.0,8.1,638
21.7,0.1,8.9,639
19.8,0.0,6.2,640
15.2,5.6,24.3,641
17.4,0.0,12.8,642
19.1,7.0,18.1,643
13.3,0.0,20.6,644
12.7,20.2,16.7,645
17.7,0.3,17.2,646
17.2,0.2,14.0,647
14.0,0.0,12.5,648
17.5,0.0,14.0,649
21.2,0.6,12.0,650
18.2,1.3,5.6,651
22.2,0.0,12.1,652
14.8,0.0,19.0,653
7.6,0.1,18.7,654
17.6,0.0,10.3,655
20.6,4.1,16.8,656
14.0,2.3,13.4,657
17.5,0.4,11.6,658
